iter	Passed	Remaining
399	60433	90650
400	60576	90487
401	60723	90330
402	60868	90170
403	61018	90017
404	61171	89869
405	61321	89717
406	61470	89562
407	61622	89412
408	61771	89258
409	61916	89099
410	62065	88945
411	62214	88791
412	62363	88637
413	62509	88479
414	62652	88316
415	62797	88157
416	62945	88002
417	63093	87848
418	63241	87693
419	63388	87536
420	63532	87376
421	63676	87215
422	63821	87056
423	63969	86901
424	64118	86748
425	64265	86592
426	64411	86435
427	64553	86272
428	64697	86112
429	64841	85952
430	64987	85795
431	65135	85640
432	65282	85484
433	65426	85325
434	65569	85165
435	65718	85012
436	65863	84854
437	66012	84700
438	66161	84547
439	66306	84389
440	66449	84229
441	66593	84070
442	66740	83915
443	66887	83759
444	67036	83606
445	67184	83453
446	67333	83300
447	67481	83146
448	67625	82988
449	67770	82830
450	67916	82673
451	68065	82522
452	68213	82368
453	68355	82207
454	68498	82047
455	68643	81890
456	68789	81734
457	68936	81580
458	69086	81428
459	69231	81271
460	69375	81113
461	69519	80956
462	69664	80798
463	69809	80642
464	69957	80488
465	70106	80336
466	70250	80179
467	70395	80022
468	70537	79862
469	70681	79704
470	70827	79549
471	70975	79396
472	71123	79243
473	71272	79091
474	71420	78938
475	71562	78778
476	71706	78622
477	71852	78466
478	72002	78315
479	72150	78163
480	72295	78006
481	72439	77849
482	72585	77694
483	72729	77537
484	72874	77382
485	73022	77229
486	73168	77075
487	73314	76920
488	73459	76764
489	73603	76607
490	73749	76453
491	73892	76295
492	74041	76144
493	74191	75993
494	74337	75839
495	74485	75687
496	74628	75529
497	74771	75371
498	74921	75221
499	75070	75070
500	75219	74919
501	75363	74763
502	75508	74607
503	75678	74477
504	75825	74324
505	75971	74169
506	76115	74013
507	76259	73857
508	76404	73702
509	76552	73550
510	76700	73397
511	76846	73244
512	76995	73092
513	77141	72939
514	77288	72786
515	77431	72629
516	77576	72474
517	77725	72324
518	77871	72170
519	78018	72016
520	78164	71863
521	78309	71708
522	78454	71554
523	78601	71401
524	78746	71246
525	78893	71093
526	79041	70942
527	79187	70789
528	79333	70635
529	79488	70489
530	79639	70340
531	79785	70186
532	79933	70035
533	80081	69884
534	80237	69739
535	80399	69599
536	80561	69459
537	80723	69319
538	80878	69174
539	81036	69031
540	81197	68890
541	81350	68742
542	81500	68592
543	81654	68445
544	81803	68294
545	81952	68143
546	82099	67991
547	82253	67844
548	82409	67698
549	82557	67547
550	82709	67398
551	82857	67246
552	83006	67095
553	83152	66942
554	83295	66786
555	83440	66632
556	83588	66480
557	83736	66328
558	83883	66176
559	84035	66027
560	84184	65877
561	84339	65731
562	84485	65577
563	84639	65430
564	84790	65281
565	84938	65129
566	85084	64976
567	85229	64822
568	85372	64666
569	85518	64514
570	85668	64363
571	85817	64212
572	85969	64064
573	86117	63913
574	86266	63762
575	86416	63612
576	86568	63463
577	86718	63313
578	86868	63163
579	87019	63013
580	87167	62862
581	87312	62709
582	87456	62554
583	87603	62402
584	87753	62252
585	87906	62104
586	88055	61953
587	88206	61804
588	88350	61650
589	88495	61496
590	88640	61343
591	88783	61188
592	88927	61034
593	89072	60881
594	89219	60729
595	89364	60575
596	89509	60422
597	89655	60269
598	89796	60114
599	89945	59963
600	90097	59815
601	90244	59663
602	90390	59510
603	90545	59364
604	90695	59214
605	90845	59064
606	90991	58912
607	91136	58759
608	91282	58606
609	91429	58455
610	91572	58300
611	91720	58149
612	91865	57996
613	92015	57846
614	92161	57694
615	92315	57547
616	92468	57399
617	92617	57249
618	92763	57096
619	92915	56948
620	93062	56796
621	93210	56645
622	93357	56493
623	93505	56342
624	93651	56190
625	93800	56040
626	93953	55892
627	94101	55741
628	94246	55588
629	94392	55436
630	94541	55286
631	94693	55138
632	94841	54986
633	94991	54837
634	95146	54690
635	95300	54542
636	95446	54390
637	95594	54240
638	95738	54086
639	95883	53934
640	96030	53783
641	96178	53632
642	96327	53482
643	96471	53328
644	96614	53175
645	96761	53024
646	96909	52873
647	97055	52721
648	97208	52573
649	97360	52424
650	97505	52272
651	97654	52122
652	97799	51970
653	97951	51821
654	98100	51671
655	98248	51520
656	98399	51371
657	98545	51219
658	98694	51069
659	98843	50919
660	98996	50771
661	99144	50620
662	99290	50468
663	99429	50313
664	99573	50161
665	99715	50007
666	99857	49853
667	100003	49702
668	100150	49551
669	100294	49398
670	100433	49244
671	100574	49090
672	100717	48936
673	100864	48786
674	101021	48639
675	101170	48489
676	101317	48338
677	101459	48185
678	101608	48035
679	101756	47885
680	101915	47740
681	102069	47592
682	102218	47442
683	102365	47291
684	102515	47142
685	102663	46991
686	102808	46839
687	102958	46690
688	103105	46539
689	103253	46389
690	103403	46239
691	103548	46088
692	103696	45937
693	103850	45790
694	104009	45644
695	104170	45499
696	104327	45353
697	104483	45206
698	104639	45059
699	104786	44908
700	104940	44760
701	105094	44612
702	105243	44462
703	105393	44313
704	105541	44162
705	105688	44011
706	105846	43865
707	106001	43718
708	106156	43570
709	106313	43423
710	106466	43275
711	106616	43125
712	106761	42974
713	106913	42825
714	107061	42674
715	107208	42523
716	107357	42374
717	107507	42224
718	107655	42074
719	107804	41924
720	107958	41775
721	108109	41626
722	108260	41477
723	108415	41329
724	108566	41180
725	108719	41031
726	108782	40849
727	108939	40702
728	109088	40552
729	109236	40402
730	109382	40251
731	109541	40105
732	109693	39956
733	109839	39805
734	109990	39656
735	110137	39505
736	110286	39355
737	110430	39204
738	110575	39053
739	110721	38902
740	110869	38751
741	111020	38602
742	111173	38454
743	111321	38304
744	111468	38153
745	111616	38003
746	111765	37853
747	111911	37702
748	112056	37551
749	112208	37402
750	112371	37257
751	112519	37107
752	112670	36958
753	112821	36809
754	112980	36662
755	113128	36512
756	113274	36361
757	113426	36212
758	113581	36064
759	113726	35913
760	113873	35763
761	114018	35612
762	114166	35461
763	114312	35311
764	114458	35160
765	114601	35008
766	114746	34857
767	114894	34707
768	115039	34556
769	115201	34410
770	115353	34261
771	115503	34112
772	115654	33963
773	115797	33811
774	115941	33660
775	116087	33509
776	116242	33361
777	116397	33213
778	116553	33065
779	116698	32915
780	116843	32764
781	116990	32613
782	117134	32462
783	117281	32312
784	117423	32160
785	117568	32009
786	117713	31859
787	117859	31708
788	118006	31558
789	118153	31407
790	118297	31256
791	118443	31106
792	118587	30955
793	118733	30805
794	118896	30658
795	119046	30509
796	119187	30357
797	119331	30206
798	119478	30056
799	119621	29905
800	119766	29754
801	119914	29604
802	120060	29454
803	120204	29303
804	120346	29152
805	120486	29000
806	120631	28849
807	120772	28698
808	120918	28548
809	121059	28396
810	121200	28245
811	121342	28093
812	121482	27942
813	121624	27791
814	121764	27639
815	121912	27490
816	122052	27338
817	122193	27187
818	122335	27036
819	122475	26884
820	122617	26733
821	122757	26582
822	122897	26431
823	123033	26279
824	123171	26127
825	123314	25976
826	123454	25825
827	123594	25674
828	123735	25523
829	123877	25372
830	124019	25221
831	124162	25071
832	124304	24920
833	124446	24769
834	124588	24619
835	124730	24468
836	124875	24318
837	125017	24168
838	125160	24017
839	125304	23867
840	125450	23717
841	125592	23567
842	125737	23417
843	125884	23267
844	126028	23117
845	126171	22967
846	126317	22817
847	126464	22668
848	126610	22518
849	126755	22368
850	126902	22219
851	127047	22069
852	127196	21920
853	127343	21770
854	127488	21620
855	127636	21471
856	127780	21321
857	127930	21172
858	128078	21023
859	128221	20873
860	128367	20723
861	128512	20573
862	128660	20424
863	128806	20275
864	128956	20126
865	129104	19976
866	129249	19827
867	129397	19677
868	129544	19528
869	129689	19378
870	129836	19229
871	129982	19079
872	130126	18930
873	130271	18780
874	130416	18630
875	130560	18481
876	130705	18331
877	130851	18182
878	130997	18032
879	131145	17883
880	131291	17733
881	131433	17584
882	131579	17434
883	131724	17285
884	131870	17135
885	132017	16986
886	132168	16837
887	132315	16688
888	132462	16539
889	132611	16390
890	132757	16240
891	132904	16091
892	133051	15942
893	133197	15792
894	133342	15643
895	133489	15494
896	133634	15344
897	133779	15195
898	133927	15046
899	134074	14897
900	134219	14747
901	134367	14598
902	134514	14449
903	134660	14300
904	134809	14151
905	134954	14001
906	135102	13852
907	135252	13703
908	135394	13554
909	135539	13405
910	135685	13255
911	135833	13106
912	135981	12957
913	136126	12808
914	136273	12659
915	136425	12510
916	136576	12361
917	136720	12212
918	136867	12063
919	137016	11914
920	137160	11765
921	137303	11615
922	137443	11466
923	137585	11316
924	137728	11167
925	137872	11017
926	138014	10868
927	138161	10719
928	138305	10570
929	138450	10420
930	138594	10271
931	138736	10122
932	138880	9973
933	139025	9824
934	139169	9674
935	139313	9525
936	139456	9376
937	139602	9227
938	139744	9078
939	139889	8929
940	140033	8779
941	140179	8631
942	140323	8481
943	140468	8332
944	140612	8183
945	140758	8034
946	140905	7885
947	141050	7736
948	141194	7587
949	141341	7439
950	141484	7289
951	141628	7140
952	141770	6991
953	141918	6843
954	142064	6694
955	142206	6545
956	142355	6396
957	142499	6247
958	142644	6098
959	142790	5949
960	142936	5800
961	143081	5651
962	143226	5502
963	143369	5354
964	143513	5205
965	143655	5056
966	143800	4907
967	143946	4758
968	144090	4609
969	144232	4460
970	144376	4311
971	144525	4163
972	144669	4014
973	144813	3865
974	144961	3716
975	145106	3568
976	145256	3419
977	145399	3270
978	145542	3121
979	145687	2973
980	145829	2824
981	145974	2675
982	146118	2526
983	146261	2378
984	146406	2229
985	146549	2080
986	146694	1932
987	146837	1783
988	146982	1634
989	147126	1486
990	147267	1337
991	147409	1188
992	147552	1040
993	147694	891
994	147837	742
995	147984	594
996	148127	445
997	148268	297
998	148412	148
999	148552	0
